customer_id,customer_name,gender,county,contact_no
1001,Charles Wangare,Male,Nairobi,254712345678
1002,Ann Wanjiku,Female,Kisumu,254712345678
1003,David Otieno,Male,Nakuru,254712345678
1004,Mercy Akinyi,Female,Mombasa,254712345678
1005,John Kamau,Male,Kiambu,254712345678
1006,Faith Njeri,Female,Nairobi,254712345678
1007,Brian Kiptoo,Male,Kisumu,254712345678
1008,Sharon Mutheu,Female,Nakuru,254712345678
1009,Kevin Mwangi,Male,Mombasa,254712345678
1010,Mary Wambui,Female,Kiambu,254712345678
1011,Telvin Mwangi,Male,Nairobi,254712345678
1012,Yvone Okwaro,Female,Kisumu,254712345678
1013,Lagat Mutai,Male,Nakuru,254712345678
1014,Peter Wanaina,Male,Kiambu,254712345678
1015,Rose Kabera,Female,Kiambu,254712345678
1016,Johnson Sakaja,Female,Nairobi,254712345678
1017,Lorent Kabila,Male,Kisumu,254712345678
1018,Chipkorir Ruto,Male,Nakuru,254712345678
1019,Sheila maliza,Female,Mombasa,254712345678
1020,Ruth Muthoni,Female,Kiambu,254712345678
1021,Nuno Mendes,Male,Nairobi,254712345678
1022,Evans Kidero,Male,Kisumu,254712345678
1023,Chepkoech Sang,Female,Nakuru,254712345678
1024,Joseph Karim,Male,Mombasa,254712345678
1025,Lucy Njeri,Female,Kiambu,254712345678
1026,Selina Gomez,Female,Nairobi,254712345678
1027,Odero Otieno,Male,Kisumu,254712345678
1028,Joy mursik,Female,Nakuru,254712345678
1029,Shida kamasi,Male,Mombasa,254712345678
1030,Everyln Wanjiru,Female,Kiambu,254712345678
1031,Bernado Silva,Male,Nairobi,254712345678
1032,Mary Akoth,Female,Kisumu,254712345678
1033,Lenah Muthoni,Female,Nakuru,254712345678
1034,Karim Swala,Male,Mombasa,254712345678
1035,David Njau,Male,Kiambu,254712345678
1036,Quinter Judy,Female,Nairobi,254712345678
1037,Martin Okinyi,Male,Kisumu,254712345678
1038,Judy korir,Female,Nakuru,254712345678
1039,Hassan Mtumishi,Male,Mombasa,254712345678
1040,Freshia Wangari,Female,Kiambu,254712345678
1041,Kylian Munisa,Male,Nairobi,254712345678
1042,Moses Ochieng,Male,Kisumu,254712345678
1043,Grace Chirchir,Female,Nakuru,254712345678
1044,Isaac Kuja,Male,Mombasa,254712345678
1045,Teresia Karumi,Female,Kiambu,254712345678
1046,Bruno Fernandez,Male,Nairobi,254712345678
1047,Magdaline Otuko,Female,Kisumu,254712345678
1048,William Ruto,Male,Nakuru,254712345678
1049,Millicent Omanga,Female,Mombasa,254712345678
1050,Peter Wanaina,Male,Kiambu,254712345678
1051,Evans Wangare,Male,Nairobi,254712345678
1052,Joice Wanjiru,Female,Kisumu,254712345678
1053,David Koech,Male,Nakuru,254712345678
1054,Mercy Mkuli,Female,Mombasa,254712345678
1055,Kamau John,Male,Kiambu,254712345678
1056,Faith Njeri,Female,Nairobi,254712345678
1057,Brian Odhis,Male,Kisumu,254712345678
1058,Josphene Mutheu,Female,Nakuru,254712345678
1059,Musembi Pilau,Male,Mombasa,254712345678
1060,Jazabel Wambui,Female,Kiambu,254712345678
1061,Mushcut telvo,Male,Nairobi,254712345678
1062,princess Come,Female,Kisumu,254712345678
1063,Lomolo mogitio,Male,Nakuru,254712345678
1064,Catherine Mandazi,Female,Mombasa,254712345678
1065,Misipa Njeri,Female,Kiambu,254712345678
1066,Sonko Sakaja,Female,Nairobi,254712345678
1067,Julius Ochi,Male,Kisumu,254712345678
1068,Laban Basir,Male,Nakuru,254712345678
1069,Mirriam Kakuzi,Female,Mombasa,254712345678
1070,Mary Muthoni,Female,Kiambu,254712345678
1071,Christaino Mendes,Male,Nairobi,254712345678
1072,Evans Wajir,Male,Kisumu,254712345678
1073,Naftali Sang,Female,Nakuru,254712345678
1074,Mkora Karim,Male,Mombasa,254712345678
1075,Hannah Joice,Female,Kiambu,254712345678
1076,Tyra Gomez,Female,Nairobi,254712345678
1077,ALphonce Otieno,Male,Kisumu,254712345678
1078,Murage mursik,Female,Nakuru,254712345678
1079,Masiko Kubwa,Male,Mombasa,254712345678
1080,Dela Mire,Female,Kiambu,254712345678
1081,Messi Silva,Male,Nairobi,254712345678
1082,Hunter Akoth,Female,Kisumu,254712345678
1083,Mtungi Muthoni,Female,Nakuru,254712345678
1084,Pate Mlaji,Male,Mombasa,254712345678
1085,Njwanga Mtwili,Male,Kiambu,254712345678
1086,Charity Judy,Female,Nairobi,254712345678
1087,Martin Mibithi,Male,Kisumu,254712345678
1088,Faith Chelagatr,Female,Nakuru,254712345678
1089,Mtumishi Hatari,Male,Mombasa,254712345678
1090,Wanga Murugi,Female,Kiambu,254712345678
1091,Olise Michael,Male,Nairobi,254712345678
1092,Jared Noon,Male,Kisumu,254712345678
1093,Grace Mpendaj,Female,Nakuru,254712345678
1094,Isalo Lugalo,Male,Mombasa,254712345678
1095,Agnes Shiri,Female,Kiambu,254712345678
1096,Mlala Hoi,Male,Nairobi,254712345678
1097,Kazi Ojwang,Female,Kisumu,254712345678
1098,Oscar Sudi,Male,Nakuru,254712345678
1099,Pess Halisi,Female,Mombasa,254712345678
1100,Mugo Kariuki,Male,Kiambu,254712345678
